ASV	percent	length	taxid	accession	correction
ASV_25872	90.937	331	1398087, 163516	KC814809, JX413558	301.00147
ASV_25873	91.239	331	429242	EF432530	302.00109
ASV_25874	97.516	322	702563	FJ876964	314.00152
ASV_25875	98.137	322	1720109, 1891234, 1176367, 1176324, 1176325, 513285, 1176449, 626735	KY290318, KU715763, KT792929, JQ408202, JQ408188, JQ408179, JQ408174, JQ408172, JQ408170, JQ408167, JQ408166, JQ408154, FJ196074	316.00114
ASV_25876	98.784	329	2576346, 2699462	MK883043, MK883042, MK883041, MN965778	324.99936
ASV_25877	95.046	323	2570295, 626733, 1720109, 1891234, 1176367, 1176324, 1176325, 513285, 1176449, 626735	MK799838, KY980357, KY290318, KU715763, KT792929, JQ408202, JQ408188, JQ408179, JQ408174, JQ408172, JQ408170, JQ408167, JQ408166, JQ408154, FJ196074, FJ196072	306.99858
ASV_25878	96.979	331	232288	KY980049, AJ564773	321.00049
ASV_2588	93.051	331	1982007	KY980033, KY980001, KY979972	307.99881
ASV_25880	98.176	329	89963, 1918384, 1886619, 1519423, 66473, 319230, 271692, 107757, 237448, 1333877	KY980288, KY980214, OR921467, KU640194, KJ481826, JF790989, HM067002, FJ473379, FJ473378, DQ779991, AY251287, U52357	322.99904
ASV_25881	95.468	331	1010457, 1010435	JF488800, JF488780	315.99908
ASV_25882	94.833	329	261845	AB181902	312.00057
ASV_25883	93.353	331	232288	KY980049, AJ564773	308.99843
ASV_25884	90.549	328	2586234, 2031109	MK370224, MF077766	297.00072
ASV_25885	97.583	331	412152, 1194445, 1169886, 637539, 136085	OM969820, JQ928405, JQ692310, FJ844431, FJ844430, EF065718, AF286023	322.99973
ASV_25886	97.866	328	1641414	KR139783, KR139782, KR139781	321.00048
ASV_25887	96.073	331	232288	KY980049, AJ564773	318.00163
ASV_25888	93.051	331	1982023, 1486463, 2611280, 2748608	KY980263, HG970975, LC603171, LC603170, LC599498	307.99881
ASV_25889	94.833	329	1982032, 2805730	KY980294, MW521836	312.00057
ASV_2589	99.67	303	2974818, 2315479	CP103416, OP278935, OP278933	302.0001
ASV_25891	94.545	330	1923967, 420281, 216777	KX253955, EF192984, AY485525, AJ535181	311.9985
ASV_25894	99.697	330	2575364, 88552	PP905707, PP905696	329.0001
ASV_25895	96.657	329	2592189, 143670, 2303294, 2303293, 2081638, 1965466, 463289	MN121042, PQ645478, MH764679, MH764678, MG255422, KY421376, KY421375, EF581380	318.00153
ASV_25896	91.718	326	365377	AM180973	299.00068
ASV_25897	95.468	331	232288	KY980049, AJ564773	315.99908
ASV_25898	95.107	327	38836, 1582272, 1401178, 1401176, 36892	KY980145, KY980096, AB999994, AB854014, AB854012, AB854008, AB017122	310.99989
ASV_25899	95.356	323	702563	FJ876964	307.99988
ASV_259	99.387	326	407208	DQ980478	324.00162
ASV_2590	99.691	324	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	322.99884
ASV_25900	95.455	330	2676190, 89963, 319230, 107757	LC490696, KY980322, HM067002, DQ779991	315.0015
ASV_25901	94.462	325	77931	KY980182	307.0015
ASV_25902	99.088	329	3058351, 1905834, 2920, 3003490, 2039876, 1655547, 139025, 658141, 2995687, 2995689, 2995691, 142110, 2684369, 66473, 454270, 284793	OR224571, LC189145, KU900227, OP970968, OP968025, LC054933, LC054932, MZ774013, MZ774012, MZ774011, MZ774010, MZ774009, MZ774008, MZ774007, MZ774003, MZ774002, MZ774001, MZ774000, MZ773999, MZ773998, ON459693, ON459692, LC515990, MN821565, JF790989, EF492499, EF492492, AF274265, AB183639	325.99952
ASV_25903	96.687	332	2316510	PQ645532	321.00084
ASV_25904	92.749	331	1864614, 429458	KU587849, EF432540	306.99919
ASV_25905	92.424	330	1864614, 1051732	KU587849, OP038903	304.9992
ASV_25906	95.152	330	3005, 216897, 265550	MW344861, MW344851, MW344850, MW344849, MW344848, MW344847, OL376438, OL376437, OL376436, OL376435, OL376434, OL376433, OL376432, OL376431, OL376430, OL376429, OL376428, OL376427, KC309544, JQ315686, AB430589, AB928215, JF791042, JF791038, AY485509, AY485508, AY485486, AJ535177	314.0016
ASV_25907	91.018	334	407301	JF790988	304.00012
ASV_25908	99.383	324	296587, 38833, 1907928, 1570327	MT117943, KY980374, KY980365, KY980282, LC806249, LC806245, LC806243, LC806242, KX523155, KU244669, KU244663, KU244659, KU244653, KU244645, KU244641, KU244638, KU244632, KU612123, KT860888, KT860879, KP899802, OQ436457, OQ428650, KR089059, KJ010081, OM521954, KF501035, KF501030, KF501024, KF501019, JF791090, HM191693, CP001575, AB183589, AY955010, AY955011, AY954998, AY955008, AY955007, AY955006, AY955002, AY955001, AY954997, AY954993	322.00092
ASV_25909	97.264	329	89963, 244960, 60595, 244961	KY980119, KY980086, KY980078, OR921524, OR921523, OR921522, OR921521, OR921520, OQ162330, AB120001, AB120002	319.99856
ASV_25910	92.593	324	89963	KY980322	300.00132
ASV_25911	90.462	325	2950227, 2982930	ON660941, ON980537	294.0015
ASV_25913	91.185	329	407301, 88552	KY980186, KY979983, OM943593, JF791049	299.99865
ASV_25914	95.745	329	88552	MK368364	315.00105
ASV_25915	88.253	332	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	292.99996
ASV_25916	95.152	330	88552	MK368150, MK368095	314.0016
ASV_25917	93.293	328	1641413	OR921549, OR921546, KR139784	306.00104
ASV_25918	93.709	302	88552, 2837575, 1294207, 230420	MK368232, MK368164, MK367883, LC632602, JX173252, AY208894	283.00118
ASV_25919	94.529	329	88552	MK368364	311.00041
ASV_2592	87.952	332	1055000	HQ651785	292.00064
ASV_25920	95.122	328	1641413	OR921549, OR921546, KR139784	312.00016
ASV_25921	93.958	331	1641413	OR921549, OR921546, KR139784	311.00098
ASV_25922	93.373	332	1401199, 1401187, 1401186, 1401182, 1401177, 1401173	AB854035, AB854023, AB854022, AB854018, AB854013, AB854009	309.99836
ASV_25923	96.97	330	35684	PQ645539, PP565071, LC189143, HQ710560, U14387	320.001
ASV_25924	92.239	335	1034831	HQ710563	309.00065
ASV_25925	98.48	329	632150, 633638	LS974168, LS974165, LS974163, LS974162, LS974160, LS974159, LS974154, JX262491, JX559885, JN680857	323.9992
ASV_25926	96.914	324	702563	FJ876964	314.00136
ASV_25927	95.342	322	1925001	KY290313	307.00124
ASV_25928	97.264	329	1965466, 66473, 904677, 66466	KY421379, KY421377, JF791029, HQ270472, AF022194	319.99856
ASV_25929	95.758	330	1315715, 1157701, 1035838, 1010455, 1010438	JX988758, JN934893, JN934890, JF488798, JF488783	316.0014
ASV_2593	99.696	329	2576346	MK883043, MK883042, MK883041	327.99984
ASV_25930	96.375	331	2912880	OM415987	319.00125
ASV_25931	98.471	327	60595	OR921514	322.00017
ASV_25932	92.47	332	41875	AY425314	307.0004
ASV_25933	89.157	332	1167876	KY980054, KY980014	296.00124
ASV_25934	97.264	329	1679438, 547557	KY980245, FM180528	319.99856
ASV_25935	93.519	324	181621, 273907	AF399123, AF399122, AY541683	303.00156
ASV_25936	95.745	329	88552	MK368364	315.00105
ASV_25937	93.478	322	702563	FJ876964	300.99916
ASV_25938	89.908	327	1864615	KU587851	293.99916
ASV_25939	93.353	331	1010465	JF488808	308.99843
ASV_25940	98.176	329	904677, 271692	HQ270472, FJ473379, FJ473378	322.99904
ASV_25941	91.916	334	3003917	OP997662, OP997661, OP997660	306.99944
ASV_25944	93.051	331	1010465	JF488808	307.99881
ASV_25945	93.353	331	1982032	KY980278, KY980267, KY980255, KY980005	308.99843
ASV_25946	95.745	329	88552	MK368364	315.00105
ASV_25947	93.03	330	192219, 439559	KF925338, JQ639764, AY443017	306.999
ASV_25948	94.88	332	1157700	JN934892	315.0016
ASV_25949	99.396	331	2737748, 83372, 1891026, 340022, 49261	MT489374, PQ645529, PQ645512, PQ645508, PQ645490, MH843679, MH843671, MH843668, MH843666, MW722947, JN934676, FR865521, JF791059, DQ514886, DQ514876	329.00076
ASV_25950	95.719	327	1582272, 1401176	AB999994, AB854012, AB854008	313.00113
ASV_25951	94.562	331	1982032	KY980294	313.00022
ASV_25953	98.476	328	1864621, 1864612	KU587845, KU587848	323.00128
ASV_25954	92.447	331	663693, 627967, 627964, 627968	GQ354272, FJ799798, FJ799796, FJ799795	305.99957
ASV_25955	97.039	304	457362	EU024996	294.99856
ASV_25956	99.08	326	1864606	KU587844	323.0008
ASV_25957	93.884	327	1176361, 1925333, 1176362, 1176364	KY290317, KY290316, JQ408203, JQ408186, JQ408185, JQ408169, JQ408168, JQ408165	307.00068
ASV_25958	95.71	303	457362	EU024996	290.0013
ASV_25959	93.656	331	232288	KY980049, AJ564773	310.00136
ASV_25960	98.48	329	2927236	ON015056	323.9992
ASV_25961	93.051	331	1315715, 1157701, 1035838, 1010455, 1010450, 1010438	JX988758, JN934893, JN934890, JF488798, JF488794, JF488783	307.99881
ASV_25962	96.386	332	1035524	JF794054	320.00152
ASV_25963	95.033	302	459535	KT625473, EF483922	286.99966
ASV_25965	96.049	329	66473	JF791053	316.00121
ASV_25966	98.773	326	1010457, 1010435	JF488800, JF488780	321.99998
ASV_25967	98.784	329	2684370, 2699462, 407301, 66473	MN821569, MN965778, JF791096, AF022201	324.99936
ASV_25968	95.975	323	1720109, 1891234, 1176367, 1176324, 1176325, 513285, 1176449, 626735	KY290318, KU715763, KT792929, JQ408202, JQ408188, JQ408179, JQ408174, JQ408172, JQ408170, JQ408167, JQ408166, JQ408154, FJ196074	309.99925
ASV_25969	94.529	329	89963	KY980160	311.00041
ASV_2597	96.375	331	88552, 120299	MK367943, MK367858, AF239260	319.00125
ASV_25970	94.408	304	88552	MK368198	287.00032
ASV_25971	96.084	332	2737748, 83372, 1891026, 340022, 49261	MT489374, PQ645529, PQ645512, PQ645508, PQ645490, MH843679, MH843671, MH843668, MH843666, MW722947, JN934676, FR865521, JF791059, DQ514886, DQ514876	318.99888
ASV_25972	93.353	331	88552	MK368187, MK367913	308.99843
ASV_25973	98.784	329	1918384	OR921502, OR921501	324.99936
ASV_25974	94.225	329	2723225	MN707941, MN707940	310.00025
ASV_25975	97.264	329	2576346	MK883043, MK883042, MK883041	319.99856
ASV_25976	93.578	327	1982032, 2805729	KY980278, KY980267, KY980255, KY980037, KY980019, KY980017, KY980005, MW521835	306.00006
ASV_25977	96.353	329	447210	OQ162335	317.00137
ASV_25978	96.667	330	3005, 216897, 265550	MW344861, MW344851, MW344850, MW344849, MW344848, MW344847, OL376438, OL376437, OL376436, OL376435, OL376434, OL376433, OL376432, OL376431, OL376430, OL376429, OL376428, OL376427, KC309544, JQ315686, JQ315685, AB430589, AB928215, JF791042, JF791038, AY485509, AY485508, AY485486, AJ535177	319.0011
ASV_25979	89.157	332	195504	OQ878394	296.00124
ASV_2598	99.387	326	622781	JX141779	324.00162
ASV_25980	95.152	330	1486463, 2611280, 2748608	HG970975, LC603171, LC603170, LC599498	314.0016
ASV_25981	96.341	328	2903, 38817, 1856765, 1856766, 280463, 2903;38817;1663125, 38817;284784;284790, 2903;38817, 44459	MN824007, MN121040, MK542696, MG022751, KX229688, LC189150, KX056536, KX056535, KX056534, KX056533, KX056532, KT861255, XM_005783537, XM_005783044, XM_005776331, XM_005773227, XM_005768650, HQ877901, AB183665, AB058360, AJ246276, U40924	315.99848
ASV_25982	95.482	332	28014	KT757448	317.00024
ASV_25983	95.441	329	36898, 132611	PQ645503, KY980350, KY980011, KY979989, OR922667	314.00089
ASV_25984	95.758	330	88552	MK367912	316.0014
ASV_25985	98.176	329	1886619	KU640194	322.99904
ASV_25986	97.879	330	629753	FJ824125	323.0007
ASV_25987	93.891	311	60595	OR921519	292.00101
ASV_25988	97.583	331	151027	AF290540	322.99973
ASV_25989	94.479	326	296587, 38833, 1907928, 1570327	MT117943, KY980374, KY980365, KY980282, LC806249, LC806245, LC806243, LC806242, KX523155, KU244669, KU244663, KU244659, KU244653, KU244645, KU244641, KU244638, KU244632, KU612123, KT860888, KT860879, KP899802, OQ436457, OQ428650, KR089059, KJ010081, OM521954, KF501035, KF501030, KF501024, KF501019, JF791090, HM191693, CP001575, AB183589, AY955010, AY955011, AY954998, AY955008, AY955007, AY955006, AY955002, AY955001, AY954997, AY954993	308.00154
ASV_2599	98.165	327	293206	AY651092	320.99955
ASV_25990	96.073	331	1315715, 1157701, 1035838, 1010455, 1010438	JX988758, JN934893, JN934890, JF488798, JF488783	318.00163
ASV_25991	96.914	324	1720110, 1176391, 1176387, 1176383	KT792931, JQ408214, JQ408207, JQ408197, JQ408190	314.00136
ASV_25992	94.769	325	2022002	MF527277	307.99925
ASV_25993	96.626	326	1073941, 207955, 463189	JF326206, GU969163, GU594639	315.00076
ASV_25994	95.107	327	2903, 38817, 1856765, 1856766, 280463, 2903;38817;1663125, 38817;284784;284790, 2903;38817, 44459	MN824007, MN121040, MK542696, MG022751, KX229688, LC189150, KX056536, KX056535, KX056534, KX056533, KX056532, KT861255, XM_005783537, XM_005783044, XM_005776331, XM_005773227, XM_005768650, HQ877901, AB183665, AB058360, AJ246276, U40924	310.99989
ASV_25995	96.979	331	151026	AF290541	321.00049
ASV_25996	91.843	331	1641413	OR921549, OR921546, KR139784	304.00033
ASV_25997	96.914	324	77931, 1273570, 437766	KY980412, JQ966995, JQ966994, EF195738	314.00136
ASV_25998	94.833	329	1982032	KY980392	312.00057
ASV_25999	96.024	327	33657, 33659	ON888443, OM688896, KF925339, JN381493, AB058367, AF182114, X77475, X77479, X77478, X77480	313.99848
ASV_26	100	325	655474	KY980064	325
ASV_260	100	331	216767	PQ645537, OR922693, KC309538	331
ASV_2600	97.568	329	1714380, 1606541, 1411661, 722754;1714387	KR998403, KR998402, KF422625, AB546639	320.99872
ASV_26000	90.554	307	2759271	MT814040	278.00078
ASV_26001	98.176	329	429454, 240364	EF432533, EF432514, EU090012	322.99904
ASV_26002	94.495	327	424541, 2302169, 1891361	AM491000, MT311519, KF684962	308.99865
ASV_26003	96.049	329	307245	LC647565	316.00121
ASV_26004	97.576	330	629753	FJ824125	322.0008
ASV_26005	94.371	302	459535	KT625473, EF483922	285.00042
ASV_26006	99.392	329	89963	PQ645540, PQ645526, PQ645525, PQ645513, PQ645506, PQ645505, KY980387, KY980329, KY980043, KY980024, KY980009, KY980000, MZ774006, DQ388464, AF274267	326.99968
ASV_26007	95.046	323	1925001	KY290313	306.99858
ASV_26008	95.758	330	1764082, 1905723, 2945	MK547137, MK547136, MK547135, MK547134, MK547133, MK547132, MK547129, MK547128, MK547127, MK547126, OP522125, OP522124, OP522121, OP522120, OP522119, KP711353, KP711350, KP711347, KP711344, MW979839, MW979837, MW979836, MW979834, MW979833, MW979832, MW979831, MW979830, MW979829, MW979828, MW979827, MW979826, MW979825, MW979824, MW979823, MW979822, DQ004735	316.0014
ASV_26009	97.568	329	2576346, 89963, 262427	MK883043, MK883042, MK883041, KY980336, OQ680142, LC515992, LC515991, HM067005	320.99872
ASV_2601	98.148	324	1795199	KR048771	317.99952
ASV_26010	95.455	330	1582274, 1918384, 2967348, 2735801	AB999983, AB999982, AB999981, AB999980, OR921467, OP071260, OP071250, OP070554, MT465328, MT465325	315.0015
ASV_26011	99.094	331	216749, 2014771	AJ535159, KY320353	328.00114
ASV_26012	92.073	328	1500003, 459501	MN203631, KT270356, KJ563218, MT730831, EF565163	301.99944
ASV_26013	96.012	326	2315864, 1709941	NG_067663, KU354784, KU354742	312.99912
ASV_26014	91.018	334	216777	AJ535181	304.00012
ASV_26015	89.189	333	2586270, 2586269, 2586268, 2586267, 2586266, 2586265, 2586264, 2586263, 2586262, 938122	MK370223, MK370222, MK370221, MK370220, MK370219, MK370218, MK370217, MK370216, MK370215, HQ008731	296.99937
ASV_26016	90.149	335	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	301.99915
ASV_26017	96.636	327	424542, 156175, 462884	AM491001, AB058357, AM779755	315.99972
ASV_26018	95.745	329	1982032, 3043770	KY980042, OQ909085	315.00105
ASV_26019	96.951	328	2580214, 1222190, 1132386, 1069092, 129184	MF157482, KC429320, KC984710, KC984695, AF207645	317.99928
ASV_2602	90.39	333	629760	FJ824131	300.9987
ASV_26020	98.476	328	6551, 173667, 6550, 29158, 40252, 2840390;2840391;2840392;2840393;2840394, 2840387;2840389, 2840388, 2840382, 429177, 431275	XR_010108755, XR_010103453, XR_010103451, XR_010103450, XR_010103449, XR_010103448, XR_010102807, XR_010102806, XR_010102805, XR_010105417, XR_010105414, XR_010105406, XR_010105378, XR_010105334, XR_010105274, XR_010105231, XR_010105137, XR_010105106, XR_010105095, XR_010105094, XR_010105079, XR_010105044, XR_010105024, XR_010105019, XR_010105011, XR_010104993, XR_010104992, XR_010104985, XR_010104980, XR_010104953, XR_010104949, XR_010104938, XR_010104930, XR_010104861, XR_010104648, XR_010104584, XR_010104547, XR_010104535, XR_010104457, XR_010104451, XR_010104450, XR_010104443, XR_010104442, XR_010104426, XR_010103528, OR512504, OR512499, OR512498, OR512496, OR512495, OR512482, OR512479, OR512453, KX713350, OY782963, MZ313199, MZ313198, MZ313197, MZ313196, KC429331, EF105215, EF105213, EF105209, EF105205, EF105204, EU289830, AY527062, L33455, L33452, L33448, L24490	323.00128
ASV_26021	97.281	331	2109573	LC375250	322.00011
ASV_26022	96.687	332	741090	GQ144681	321.00084
ASV_26023	98.777	327	418113	HQ896315	323.00079
ASV_26024	93.009	329	1965466, 66473	KY421379, KY421377, JF791029	305.99961
ASV_26025	96.024	327	3042507	LC765387	313.99848
ASV_26026	93.333	330	64511, 2040705	KF160860, MT730983, MT730982	307.9989
ASV_26027	97.872	329	447210	OQ162335	321.99888
ASV_26028	95.468	331	151027	AF290540	315.99908
ASV_26029	88.06	335	151027	KY979984	295.001
ASV_2603	99.692	325	880432, 329443, 222015	MG254407, OQ703016, AY996076, AY176302	323.999
ASV_26030	91.234	308	89963	KY980118	281.00072
ASV_26031	95.681	301	1689237	JX310365	287.99981
ASV_26032	94.249	313	2200936	MZ611704	294.99937
ASV_26033	95.706	326	195967	KY980091	312.00156
ASV_26034	95.758	330	1923967, 420281, 216777	KX253955, EF192984, AY485525	316.0014
ASV_26035	94.637	317	1955568	KX431507	299.99929
ASV_26036	93.413	334	1923967, 216927, 420281, 216777	KX253955, MW750343, EF192984, AY485525, AJ535181	311.99942
ASV_26037	96.353	329	1982030	KY980399	317.00137
ASV_26038	95.137	329	1401195	AB854031	313.00073
ASV_26039	96.37	303	1230781	JX027617	292.0011
ASV_26040	98.485	330	88552	MK368178	325.0005
ASV_26041	93.656	331	324623	LT993784	310.00136
ASV_26042	97.264	329	1155439	KT860996, JN934690	319.99856
ASV_26043	94.955	337	2558189, 862914, 2029595, 2029594, 61848, 1874995, 1874992;1874994, 862912, 880884, 2720202, 2800453, 2800450, 2800449, 2800448, 2800447, 2800443, 1210407, 862926, 1210406, 1210405, 328598, 222003, 328594	MK660180, KY823451, KY823450, KY823448, KY657611, KX853876, KU738180, KU738178, OP476762, OP476761, OQ612671, MW444683, MW444681, MW444680, MW444679, MW444678, MW444677, JN852828, JN852824, JN852823, JN852822, AY894301, AY894300, AY894297	319.99835
ASV_26044	98.176	329	2593264, 133427	MN137905, MK995623, OR921535, AB727656, AB727655, AB727654, DQ217789, AY421790, AF274273	322.99904
ASV_26045	98	300	1689237	JX310365	294
ASV_26046	94.26	331	1582274, 2735801, 936282	AB999983, AB999982, AB999981, AB999980, MT465328, MT465325, GU327678	312.0006
ASV_26047	88.822	331	88552	MK368345, MK368037	294.00082
ASV_26048	90.361	332	1982032	KY980278, KY980267, KY980255, KY980005	299.99852
ASV_26049	97.248	327	3075330, 1037237	PQ164811, PQ164796, PQ164789, PQ164776, PQ164701, PQ164591, PQ164530, OR159893, OR557389, OR557387, OR557388, OR557385	318.00096
ASV_2605	89.735	302	88552	MK367942, MK367940, MK367938, MK367937, MK367935	270.9997
ASV_26050	95.77	331	1043735	HM536154	316.9987
ASV_26051	97.554	327	3065438, 2011922	NG_243625, ON081642	319.00158
ASV_26052	93.393	333	629751	FJ824122	310.99869
ASV_26053	99.088	329	1519423	KJ481826	325.99952
ASV_26054	89.426	331	2589715, 1524185, 1234160, 672125, 420540, 370103	MK234637, AB973542, JX481078, FJ821481, AB290575, DQ367048	296.00006
ASV_26055	89.489	333	1923967, 420281, 216777	KX253955, EF192984, AY485525	297.99837
ASV_26056	84.967	306	265552	OR397924	259.99902
ASV_26057	92.47	332	89963, 244960, 60595, 244961	KY980322, KY980138, KY980119, KY980086, KY980078, OR921524, OR921523, OR921522, OR921521, OR921520, OQ162330, AB120001, AB120002	307.0004
ASV_26058	95.758	330	88552	OM943595	316.0014
ASV_26059	97.264	329	66473	JF791029	319.99856
ASV_2606	82.334	317	2930474	OX095837, OX095836, OX095835, OX095833	260.99878
ASV_26060	97.411	309	1825700	LC144697	300.99999
ASV_26061	95.821	335	2597375, 397580	MN296517, DQ790097	321.00035
ASV_26062	98.176	329	88552, 89963	PP905704, KY980309, KY980290, KY980274	322.99904
ASV_26063	98.182	330	89963, 407301, 2746695, 60595	KY980277, KY980251, KU314867, OK093377, OK093376, OK093375, MT644702, MT644701, MT644700, JN986577, HQ832504, EF492506, AM494500, AF272045, AJ415516, AB001438	324.0006
ASV_26064	95.482	332	741090	GQ144681	317.00024
ASV_26065	95.253	316	633638	GQ914935	300.99948
ASV_26066	93.353	331	877583	HM163290	308.99843
ASV_26067	94.595	333	2925399, 172824	OM966641, AY050182	315.00135
ASV_26068	89.836	305	88552	MK368079	273.9998
ASV_26069	95.796	333	629759	FJ824126	319.00068
ASV_2607	97.735	309	247642	AY386342	302.00115
ASV_26070	98.777	327	1477495	OQ911487, ON081635, ON081634, ON081632	323.00079
ASV_26071	98.788	330	189332	AF472553	326.0004
ASV_26072	98.176	329	2576346, 106539, 160612	MK883043, MK883042, MK883041, JX262492, AF274270	322.99904
ASV_26073	96.364	330	60595	OR921514	318.0012
ASV_26074	91.793	329	1923967, 420281, 216777	KX253955, EF192984, AY485525	301.99897
ASV_26075	97.264	329	1923967, 420281, 216777	KX253955, EF192984, AY485525	319.99856
ASV_26076	97.351	302	88552	MK358947	294.00002
ASV_26077	96.667	330	88552	MK368349	319.0011
ASV_26078	98.182	330	2575364, 88552	PP905707, PP905696, MK368218, MK368000	324.0006
ASV_26079	93.987	316	1923967, 420281, 216777	KX253955, EF192984, AY485525	296.99892
ASV_2608	99.088	329	2737757, 2737759, 2737758, 2856, 2854, 1034816, 582755	MT489366, MT489381, MT489377, MH166733, PQ645492, KY980216, KY980122, MG022764, KY054946, KY045848, OR922717, KX981848, KX981847, KU561207, KU561206, KU561205, KU561117, LC787636, OR286793, OM891869, ON942238, OK147662, OK483377, MW750335, FR865492, MN943995, HQ912645, GQ468546, GQ468544, GQ468542, GQ468541, GQ468540, GQ468539, GQ468538, GQ468536, GQ468535, GQ468534, GQ468533, GQ468532, GQ468531, FJ546711, DQ178392, DQ082741, DQ082739, DQ082738, DQ019446	325.99952
ASV_26080	96.923	325	696961	KY980056, KY980032, KY980030, KY979987	314.99975
ASV_26081	96.33	327	60595	OR921514	314.9991
ASV_26082	86.527	334	2056977, 569439, 2547616;2547617, 88552	MG661056, MG661055, MG661054, MK621852, MK621848, MK368347, MK368330, MK368328	289.00018
ASV_26083	96.687	332	232288	KY980049, AJ564773	321.00084
ASV_26084	91.239	331	1524182, 1079765, 663693, 627967, 627964, 627968	AB973539, HQ228948, GQ354272, FJ799798, FJ799796, FJ799795	302.00109
ASV_26085	96.689	302	858351	HM483397	292.00078
ASV_26086	96.049	329	95528	AJ420689	316.00121
ASV_26087	89.841	315	2420342	MK007562, MH665396, MH665395, MH665394, MH665393, OK148554	282.99915
ASV_26088	97.583	331	173654, 333350, 637540, 637542, 410623, 637541, 637544, 637543	KY853757, MW136947, MW136946, FJ844429, FJ844428, FJ844427, FJ844426, FJ844425, FJ844424, FJ844423, FJ844422, FJ844421, FJ844420, FJ844419, FJ844418, FJ844417, FJ844416, FJ844415, FJ844414, FJ844413, FJ844412	322.99973
ASV_26089	98.476	328	1136018	JQ240485	323.00128
ASV_2609	99.394	330	88552	MK368341, MK368340, MK367912	328.0002
ASV_26090	95.455	330	1545445	KM516201	315.0015
ASV_26091	98.466	326	696961	KY980056, KY980032, KY980030, KY979987	320.99916
ASV_26092	91.617	334	244963	AB120004	306.00078
ASV_26093	96.024	327	333133	AF280076	313.99848
ASV_26094	91.867	332	66473	JF791029	304.99844
ASV_26095	99.077	325	1955568	KX431474	322.00025
ASV_26096	98.165	327	2011922	OQ702911, OQ702910, OQ702908, OQ702901, OQ702896, OQ702893, OQ702892, OQ702889	320.99955
ASV_26097	95.181	332	1486463, 2611280, 2748608	HG970975, LC603171, LC603170, LC599498	316.00092
ASV_26098	93.865	326	41875, 2812571, 3126173	MT571465, MT117942, PP409568, PP409567, CP146933, OZ075445, OZ076297, OZ076275, OZ076253, OZ076189, OZ076168, OZ076147, OZ076125, XR_002608757, XR_002608756, LC779579, KT878714, KT860937, KT860936, KT860601, KT860599, KT860598, KT860597, KT860596, KT860594, KT860593, KT860592, KF501036, JX625115, FO082268, JF794058, FN562453, AY425315, OZ076210	305.9999
ASV_26099	91.615	322	88552	MK368345, MK368138	295.0003
ASV_261	97.583	331	232288	KY980049, AJ564773	322.99973
ASV_2610	96.375	331	120299	AF239260	319.00125
ASV_26100	91.793	329	1864604, 1010447	KU587842, JF488791	301.99897
ASV_26101	99.088	329	1519423	KJ481826	325.99952
ASV_26102	99.693	326	1336887, 1931083, 1931081, 1342565, 51076, 283547	KX894479, KX601215, KX601214, KC902316, KC902270, KC901957, EF654530	324.99918
ASV_26103	93.976	332	2109573, 2109572	LC375250, LC375249	312.00032
ASV_26104	96.375	331	663693, 627967, 627964, 627968	GQ354272, FJ799798, FJ799796, FJ799795	319.00125
ASV_26105	91.265	332	2530480	MK578712	302.9998
ASV_26106	95.385	325	2604950	MN056948, MN056947	310.00125
ASV_26107	94.864	331	88552	MK368347, MK368339, MK368330	313.99984
ASV_26108	98.485	330	2316634	PP905711, PP905710	325.0005
ASV_26109	94.156	308	2611340	OR251919	290.00048
ASV_2611	96.96	329	876016	JN936469	318.9984
ASV_26110	92.138	318	35684	PQ645539, PP565071, LC189143, HQ710560, U14387	292.99884
ASV_26111	99	300	1928008	MK835258	297
ASV_26112	97.879	330	88552	MK368150, MK368095	323.0007
ASV_26113	95.137	329	156128, 41886	PQ587458, OR922706, OR922669, JN934688, AY425306, AB158376, AB058391, X75565	313.00073
ASV_26114	92.216	334	1167876	MZ613177, JN848814	308.00144
ASV_26115	90.12	334	629760	FJ824131	301.0008
ASV_26116	96.677	331	2591690	AY443018	320.00087
ASV_26117	93.976	332	2805718	MW521824	312.00032
ASV_26118	91.843	331	91992	AF167154	304.00033
ASV_26119	96.375	331	151027	AF290540	319.00125
ASV_2612	98.182	330	88552	MK368167	324.0006
ASV_26120	97.273	330	47934, 481301, 150623, 584866, 146760, 150622, 566462, 120300, 150597	MK860896, MK860892, MK860882, OR921497, OR921496, KJ508017, LC515984, LC515983, JN982970, HM853816, HM853815, FJ869120, EU780644, EU780641, AB366002, EU130569, AF239261, AJ506974, AJ506973, AJ506972, AB073119, AB073118, AB073117	321.0009
ASV_26121	99.353	309	2974818, 2315479	CP103416, OP278935, OP278933	307.00077
ASV_26122	86.103	331	1425172, 502081;717064, 352448	KC832952, EU286809, DQ232761	285.00093
ASV_26123	98.165	327	1864612	KU587848	320.99955
ASV_26124	97.576	330	1545445	KM516201	322.0008
ASV_26125	95.455	330	629753	FJ824125	315.0015
ASV_26126	97.281	331	2109573	LC375250	322.00011
ASV_26127	98.784	329	66473	JF790989	324.99936
ASV_26128	97.264	329	88552	MK368198	319.99856
ASV_26129	94.427	323	1804151	KU728177, KU728176, KU728175, KU728174	304.99921
